icfes_puesto,cutoff,ingresa_u3
-272,-571,0.66666669
-271,-850,0.80000001
-271,-571,1
-270,-850,0.7368421
-270,-571,1
-269,-850,0.95454544
-269,-571,1
-268,-850,0.85000002
-268,-571,1
-267,-850,0.73333335
-267,-571,1
-266,-850,0.95238096
-266,-571,0
-265,-850,1
-264,-850,0.84615386
-264,-571,1
-263,-850,0.82608694
-263,-571,1
-262,-850,0.72222221
-262,-571,1
-261,-850,0.92307693
-261,-571,1
-260,-850,0.82608694
-260,-571,1
-259,-850,0.78571427
-259,-571,1
-258,-850,0.85185188
-258,-571,1
-257,-850,0.80000001
-257,-571,0.66666669
-256,-850,1
-256,-571,1
-255,-850,0.95238096
-255,-571,1
-254,-850,0.84210527
-254,-571,0.5
-253,-850,0.88461536
-253,-571,1
-252,-850,0.83333331
-252,-571,1
-251,-850,0.86363637
-251,-571,0.40000001
-250,-850,0.7647059
-250,-571,1
-249,-850,0.7368421
-249,-571,0.83333331
-248,-850,1
-248,-571,1
-247,-850,0.94999999
-247,-571,1
-246,-850,0.80952382
-246,-571,1
-245,-850,0.95454544
-245,-571,1
